Month,Followers,Total Followers,Views,Total Views
7/1/2021,6137,807000,283000,26000000
6/1/2021,15031,801000,470000,25700000
5/1/2021,46377,786000,1900000,25300000
4/1/2021,19193,739000,758000,23300000
3/1/2021,12781,720000,1520000,22600000
2/1/2021,21454,707000,1500000,21100000
1/1/2021,22686,686000,793000,19600000
12/1/2020,23573,663000,633000,18800000
11/1/2020,12791,640000,563000,18100000
10/1/2020,11522,627000,536000,17600000
9/1/2020,17159,615000,637000,17000000
8/1/2020,19366,598000,765000,16400000
7/1/2020,18058,579000,597000,15600000
6/1/2020,47652,561000,1060000,15000000
5/1/2020,10605,513000,180000,14000000
4/1/2020,10693,502000,231000,13800000
3/1/2020,11586,492000,294000,13600000
2/1/2020,21246,480000,951000,13300000
1/1/2020,20776,459000,868000,12300000
12/1/2019,19489,438000,656000,11500000
11/1/2019,12728,419000,484000,10800000
10/1/2019,19209,406000,834000,10300000
9/1/2019,23874,387000,945000,9490000
8/1/2019,17821,363000,651000,8540000
7/1/2019,25236,345000,915000,7890000
6/1/2019,19532,320000,703000,6980000
5/1/2019,20298,300000,1030000,6270000
4/1/2019,23538,280000,1520000,5250000
3/1/2019,29524,256000,783000,3730000
2/1/2019,45416,227000,935000,2950000
1/1/2019,30459,181000,465000,2010000
12/1/2018,14371,151000,250000,1550000
11/1/2018,11345,137000,139000,1300000
10/1/2018,9768,125000,175000,1160000
9/1/2018,11482,116000,430000,984000
8/1/2018,26159,104000,251000,553000
7/1/2018,24129,77900,166000,303000
6/1/2018,28062,53800,80100,137000
5/1/2018,16594,25700,49100,56700
