Month, Total, Prime,Tier 1 ($4.99),Tier 2 ($9.99),Tier 3 ($24.99),Unlisted, Gifted
9/1/2021,233,152,62,4,0,15,6
8/1/2021,9479,3689,4366,64,22,1338,371
7/1/2021,18107,8236,7587,84,20,2180,717
6/1/2021,49809,21494,22367,231,46,5671,2645
5/1/2021,28347,12105,12694,130,33,3385,1537
4/1/2021,29190,12283,13370,159,27,3351,1097
3/1/2021,29244,12400,13516,159,32,3137,1249
2/1/2021,26753,11429,11830,176,36,3282,1215
1/1/2021,28171,11851,13000,174,35,3111,1162
12/1/2020,23518,9908,10589,153,29,2839,1219
11/1/2020,19124,8364,8348,94,30,2288,894
10/1/2020,28584,10602,14104,165,44,3669,1561
9/1/2020,29255,12376,13274,168,49,3388,1714
8/1/2020,27794,12091,12143,148,51,3361,1489
7/1/2020,57765,23930,27966,390,97,5382,6512
6/1/2020,7748,3501,3843,50,22,332,875
5/1/2020,11518,5068,5807,82,68,493,1235
4/1/2020,10872,5028,5083,114,150,497,776
3/1/2020,26358,13022,11280,325,222,1509,2032
2/1/2020,33187,16513,14416,310,234,1714,2331
1/1/2020,27465,12956,12626,234,239,1410,1732
12/1/2019,21488,10734,9276,170,157,1151,1768
11/1/2019,27622,13908,11985,222,209,1298,1721
10/1/2019,27193,13792,11513,176,193,1519,1481
9/1/2019,21888,10705,9810,147,151,1075,966
8/1/2019,25989,13233,11305,202,228,1021,1226
7/1/2019,23731,13164,9487,138,157,785,797
6/1/2019,48070,36168,9774,184,197,1747,813
5/1/2019,46478,34333,10314,172,192,1467,1073
4/1/2019,48491,34944,11488,168,235,1656,1745
3/1/2019,48477,31297,15146,218,245,1571,2303
