Month,Average,Gain,% Gain,Peak
7/1/2021,14970,"-11,152",-42.7%,23874
6/1/2021,26122,"-34,028",-56.6%,47048
5/1/2021,60150,"+16,664",+38.3%,116327
4/1/2021,43486,"-1,625",-3.6%,78411
3/1/2021,45111,"+2,353",+5.5%,82432
2/1/2021,42758,+175,+0.4%,78885
1/1/2021,42583,"-5,057",-10.6%,68288
12/1/2020,47640,-361,-0.8%,72167
11/1/2020,48001,"-2,407",-4.8%,78856
10/1/2020,50408,"+4,581",+10%,72338
9/1/2020,45827,"-7,136",-13.5%,80890
8/1/2020,52963,-631,-1.2%,74095
7/1/2020,53594,-512,-0.9%,81593
6/1/2020,54106,"+46,544",+615.5%,110800
5/1/2020,7562,"+3,584",+90.1%,14899
4/1/2020,3978,"+1,339",+50.7%,13798
3/1/2020,2639,"-13,302",-83.4%,16104
2/1/2020,15941,"-8,135",-33.8%,70863
1/1/2020,24076,"+6,959",+40.7%,65727
12/1/2019,17117,"+2,256",+15.2%,57794
11/1/2019,14861,+724,+5.1%,57728
10/1/2019,14137,"+2,442",+20.9%,63501
9/1/2019,11695,"-1,819",-13.5%,51917
8/1/2019,13514,"-2,158",-13.8%,58701
7/1/2019,15672,"+1,078",+7.4%,56180
6/1/2019,14594,"+2,233",+18.1%,55742
5/1/2019,12361,"-2,905",-19%,57262
4/1/2019,15266,-793,-4.9%,63116
3/1/2019,16059,"+2,868",+21.7%,65015
2/1/2019,13191,"+2,511",+23.5%,60718
1/1/2019,10680,"+7,827",+274.3%,55086
12/1/2018,2853,"-3,866",-57.5%,9919
11/1/2018,6719,"+1,493",+28.6%,14123
10/1/2018,5226,"-2,662",-33.7%,11181
9/1/2018,7888,+914,+13.1%,16445
8/1/2018,6974,"-3,516",-33.5%,12090
7/1/2018,10490,"+8,741",+499.8%,14668
6/1/2018,1749,+858,+96.3%,6182
5/1/2018,891,-,-,1504
