Month,Followers,Total Followers,Views,Total Views
8/1/2021,-290,537000,5000,61600000
7/1/2021,-611,538000,10300,61600000
6/1/2021,-723,538000,14100,61600000
5/1/2021,-991,539000,23600,61600000
4/1/2021,-971,540000,11900,61600000
3/1/2021,-5539,541000,18900,61600000
2/1/2021,-216,547000,16200,61600000
1/1/2021,-243,547000,14900,61500000
12/1/2020,-88,547000,18000,61500000
11/1/2020,-854,547000,12600,61500000
10/1/2020,-1643,548000,17300,61500000
9/1/2020,-1716,550000,19000,61500000
8/1/2020,-1393,551000,72800,61500000
7/1/2020,-1613,553000,45400,61400000
6/1/2020,-2092,554000,15200,61300000
5/1/2020,-1373,556000,20500,61200000
4/1/2020,-1333,558000,37200,61200000
3/1/2020,-825,559000,11600,61100000
1/1/2020,-51,560000,16300,61000000
12/1/2019,-1032,560000,46700,60800000
11/1/2019,-784,561000,292000,60800000
10/1/2019,-526,562000,709000,60500000
9/1/2019,-1071,562000,899000,59800000
8/1/2019,-1376,563000,786000,58900000
7/1/2019,-1964,565000,960000,58100000
6/1/2019,-1591,567000,734000,57200000
5/1/2019,-1353,568000,690000,56400000
4/1/2019,-2509,570000,1120000,55700000
3/1/2019,634,572000,2250000,54600000
2/1/2019,-981,572000,3420000,52400000
1/1/2019,2450,573000,1170000,48900000
12/1/2018,10221,570000,1040000,47800000
11/1/2018,8302,560000,1100000,46700000
10/1/2018,6857,552000,1060000,45600000
9/1/2018,6764,545000,1590000,44600000
8/1/2018,7632,538000,1470000,43000000
7/1/2018,12315,530000,1530000,41500000
6/1/2018,11046,518000,1330000,40000000
5/1/2018,11394,507000,1010000,38600000
4/1/2018,15326,496000,2140000,37600000
3/1/2018,16446,480000,2350000,35500000
2/1/2018,20247,464000,2100000,33100000
1/1/2018,23103,444000,2010000,31000000
12/1/2017,48829,420000,2450000,29000000
11/1/2017,6884,372000,1130000,26600000
10/1/2017,7283,365000,1340000,25400000
9/1/2017,12007,357000,1720000,24100000
8/1/2017,8534,345000,1280000,22400000
7/1/2017,11297,337000,1150000,21100000
6/1/2017,22567,326000,979000,20000000
5/1/2017,11859,303000,965000,19000000
4/1/2017,7838,291000,577000,18000000
3/1/2017,7970,283000,999000,17400000
2/1/2017,9547,275000,833000,16400000
1/1/2017,7619,266000,723000,15600000
12/1/2016,11130,258000,821000,14900000
11/1/2016,6585,247000,602000,14100000
10/1/2016,2760,240000,221000,13500000
